"InTemp","InHumid","DoorState","Power","TIME","Temp_outside","Pi_consmp","GES(in KWh)"
"13.8","73.1"," CLOSED"," ON","    00:12:26","18.89","19.646365422397","0"
"13.8","73.1"," CLOSED"," ON","    00:12:29","18.89","19.646365422397","0"
"13.8","73"," CLOSED"," ON","    00:12:32","18.89","19.646365422397","0"
"13.7","72.9"," CLOSED"," ON","    00:12:34","18.89","19.267822736031","0"
"13.8","72.9"," CLOSED"," ON","    00:12:37","18.89","19.646365422397","0"
"13.8","72.9"," CLOSED"," ON","    00:12:39","18.89","19.646365422397","0"
"13.8","72.9"," CLOSED"," ON","    00:12:42","18.89","19.646365422397","0"
"13.8","73.1"," CLOSED"," ON","    00:12:45","18.89","19.646365422397","0"
"13.8","73.2"," CLOSED"," ON","    00:12:47","18.89","19.646365422397","0"
"13.7","73.1"," CLOSED"," ON","    00:12:50","18.89","19.267822736031","0"
"13.8","73"," CLOSED"," ON","    00:12:52","18.89","19.646365422397","0"
"13.8","72.9"," CLOSED"," ON","    00:12:55","18.89","19.646365422397","0"
"13.8","73.1"," CLOSED"," ON","    00:12:57","18.89","19.646365422397","0"
"13.8","73.1"," CLOSED"," ON","    00:13:00","18.89","19.646365422397","0"
"13.9","73.2"," CLOSED"," ON","    00:13:03","18.89","20.040080160321","0"
"13.8","73.2"," CLOSED"," ON","    00:13:05","18.89","19.646365422397","0"
"13.8","73.2"," CLOSED"," ON","    00:13:08","18.89","19.646365422397","0"
"13.8","73.2"," CLOSED"," ON","    00:13:10","18.89","19.646365422397","0"
"13.8","73.2"," CLOSED"," ON","    00:13:13","18.89","19.646365422397","0"
"13.8","73.2"," CLOSED"," ON","    00:13:16","18.89","19.646365422397","0"
"13.8","72.9"," CLOSED"," ON","    00:13:18","18.89","19.646365422397","0"
"13.8","72.9"," CLOSED"," ON","    00:13:21","18.89","19.646365422397","0"
"13.8","73.1"," CLOSED"," ON","    00:13:23","18.89","19.646365422397","0"
"13.8","73.1"," CLOSED"," ON","    00:13:26","18.89","19.646365422397","0"
"13.8","73.3"," CLOSED"," ON","    00:13:28","18.89","19.646365422397","0"
"13.8","73.4"," CLOSED"," ON","    00:13:31","18.89","19.646365422397","0"
"13.8","73.6"," CLOSED"," ON","    00:13:34","18.89","19.646365422397","0"
"13.8","73.5"," CLOSED"," ON","    00:13:36","18.89","19.646365422397","0"
"13.7","73.4"," CLOSED"," ON","    00:13:39","18.89","19.267822736031","0"
"13.8","73.4"," CLOSED"," ON","    00:13:41","18.89","19.646365422397","0"
"13.8","73.4"," CLOSED"," ON","    00:13:44","18.89","19.646365422397","0"
"13.8","73.4"," CLOSED"," ON","    00:13:47","18.89","19.646365422397","0"
"13.7","73.4"," CLOSED"," ON","    00:13:49","18.89","19.267822736031","0"
"13.8","73.5"," CLOSED"," ON","    00:13:52","18.89","19.646365422397","0"
"13.8","73.6"," CLOSED"," ON","    00:13:54","18.89","19.646365422397","0"
"13.8","73.6"," CLOSED"," ON","    00:13:57","18.89","19.646365422397","0"
"13.8","73.7"," CLOSED"," ON","    00:13:59","18.89","19.646365422397","0"
"13.8","73.8"," CLOSED"," ON","    00:14:02","18.89","19.646365422397","0"
"13.8","73.8"," CLOSED"," ON","    00:14:05","18.89","19.646365422397","0"
"13.8","73.8"," CLOSED"," ON","    00:14:07","18.89","19.646365422397","0"
"13.8","73.8"," CLOSED"," ON","    00:14:10","18.89","19.646365422397","0"
"13.8","73.9"," CLOSED"," ON","    00:14:12","18.89","19.646365422397","0"
"13.8","73.8"," CLOSED"," ON","    00:14:15","18.89","19.646365422397","0"
"13.8","73.9"," CLOSED"," ON","    00:14:18","18.89","19.646365422397","0"
"13.8","73.9"," CLOSED"," ON","    00:14:20","18.89","19.646365422397","0"
"13.8","73.9"," CLOSED"," ON","    00:14:23","18.89","19.646365422397","0"
"13.8","73.9"," CLOSED"," ON","    00:14:25","18.89","19.646365422397","0"
"13.8","74.1"," CLOSED"," ON","    00:14:28","18.89","19.646365422397","0"
